CellID,DNA_6,ELANE,CD57,CD45,DNA_7,ELANE7,CD577,CD457,DNA_8,ELANE8,CD578,CD458,X_centroid,Y_centroid,Area,MajorAxisLength,MinorAxisLength,Eccentricity,Solidity,Extent,Orientation
18,16418.98151260504,10700.781512605043,1338.2605042016808,2558.0672268907565,10944.569747899159,4957.048739495798,12809.56806722689,924.1697478991597,36556.49075630252,3147.6151260504203,2230.87731092437,5786.880672268908,378.9428571428571,24.39831932773109,595.0,36.272295800277426,21.77953781154844,0.799665659910844,0.8960843373493976,0.6439393939393939,-0.7842069140024066
19,22024.02881152461,4046.3085234093637,2862.1800720288115,5989.836734693878,18039.655462184874,5398.66506602641,184.11764705882354,1067.1764705882354,27635.729891956784,2571.2845138055222,1318.9651860744298,4909.46818727491,491.6698679471789,23.699879951980794,833.0,37.20759773622476,29.158862376019396,0.6211643457511407,0.9307262569832402,0.7677419354838709,-0.31373150117057164
20,25900.368491321762,3536.5006675567424,2399.5560747663553,4924.731642189586,23868.085447263016,2422.601468624833,2295.468624833111,1019.9539385847797,0.0,0.0,0.0,0.0,58.60146862483311,18.918558077436582,1498.0,52.11902514958333,39.54168226648284,0.6514630208911025,0.886915334517466,0.6527233115468409,0.8972326573105781
21,23570.36629406707,3689.1736887360275,1835.354256233878,3784.9372312983664,17628.696474634566,3642.323301805675,171.81083404987103,865.231298366294,0.0,0.0,0.0,0.0,91.50128976784178,18.17970765262253,1163.0,48.96937141521035,37.17849624362315,0.6508347865832284,0.7503225806451613,0.56511175898931,0.30065041399358344
22,19398.93922651934,4006.8563535911603,2213.425414364641,4694.117863720074,17134.289134438306,5750.029465930018,179.4732965009208,1052.97605893186,0.0,0.0,0.0,0.0,119.08103130755065,23.14917127071823,543.0,28.099269884658728,25.2208542412318,0.4408870000239684,0.8945634266886326,0.6926020408163265,0.7134924899814516
23,21455.5759202454,4795.826687116564,2293.7346625766872,7449.95245398773,15848.171779141105,4650.19708588957,16766.803680981597,1087.721625766871,30181.328220858897,3021.8888036809817,1533.7001533742332,3138.9079754601225,415.65644171779144,25.392638036809817,1304.0,46.95698797976677,38.47027687381632,0.5734132559064253,0.8484059856864021,0.6936170212765957,-0.5474981659437745
24,25046.09649122807,3575.002192982456,3315.4934210526317,8162.208333333333,19039.592105263157,2124.02850877193,3930.7280701754385,995.3179824561404,0.0,0.0,0.0,0.0,6.489035087719298,34.26754385964912,456.0,35.5817548361809,17.47234247918395,0.8711326287225963,0.9306122448979591,0.7663865546218488,0.026611521805006443
25,24595.17996289425,3347.9267161410016,2421.0890538033395,5740.069573283859,24786.063079777367,3013.1753246753246,5056.849721706864,1218.774582560297,0.0,0.0,0.0,0.0,32.178107606679035,34.74118738404453,1078.0,43.9785566344692,32.099960143928335,0.6835536577934707,0.909704641350211,0.6282051282051282,0.8159738236096299
26,20165.96051103368,7930.169570267131,2967.773519163763,8296.987224157956,15804.548199767713,3942.362369337979,5016.084785133566,1111.0290360046458,27659.781649245066,4263.5737514518005,2130.1672473867598,4159.192799070848,441.67015098722413,36.30662020905923,861.0,42.49683101054831,26.52986103109199,0.7812018068179568,0.8830769230769231,0.6833333333333333,-0.02882966709204722
27,24704.495412844037,3764.864887406172,4350.989157631359,9491.512093411176,23401.96997497915,3834.97247706422,183.68223519599667,1251.04670558799,23402.716430358632,2467.0175145954963,1818.859049207673,4106.829024186823,524.0884070058382,36.51376146788991,1199.0,56.7994724100086,29.32485402853739,0.8564153679649091,0.7730496453900709,0.611734693877551,-1.5377784687219997
28,16369.822878228782,10282.20110701107,1155.7952029520295,1583.7749077490776,12187.784132841329,4874.654981549816,6424.79704797048,902.3044280442805,37327.261992619926,2467.7915129151293,1978.2490774907749,3377.658671586716,346.75830258302585,37.59225092250922,542.0,30.292433448845614,23.67645206802688,0.6237846731410102,0.8885245901639345,0.7445054945054945,-1.2270965795285762
29,23413.33393501805,4124.203971119134,4521.805054151625,8204.31046931408,21702.80144404332,3295.702166064982,1210.658844765343,1230.1498194945848,42624.453068592054,2024.5198555956679,1054.610108303249,2450.610108303249,191.38628158844764,37.3971119133574,554.0,28.732847764401836,24.95707992213137,0.49553048719847054,0.920265780730897,0.7066326530612245,0.6117298703654817
